Target: 192.168.1.10 - SEHome-PC
Time range: From: 8/25/2015 8:08:07 PM to: 8/27/2015 8:08:07 PM
Usage stats:
User download usage (mb): 732.98 mb
Packets requested by user: 4,183,287.00
User upload usage (mb): 2,217,456.00
Packets sent by user: 2,217,456.00
Total download utilizatin (mb): 3,619.78 mb
Total Packets requested: 11,890,838.00
Bandwidth usage percentage: 20.25
Packets usage percentage: 35.18
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/340/sha/3f44f46d11fd1802cb823e85ccdef768b686631c.txt.gz
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/380/sha/ba9b251ddf8359a39af15454ee4c4753cd14b7b5.txt.gz
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/420/sha/a32ea66d3eab11a3e6b243f7ab95357b224f355a.txt.gz
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/440/sha/8101ba2b8d897510594b82e6b69a6e6a4cadc709.txt.gz
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/233250/sha/bbedaf1a10b2ff8cbb13590bdb489616578d809c.txt.gz
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/236110/sha/b2d2195bfa489109a1f1756b76b22021574a8950.txt.gz
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/366490/sha/ff772d3cd1bbb6f327b3e1ea42c3b03885034db2.txt.gz
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/252490/sha/5ea8457df637585b62fd7574b4631819555cbe15.txt.gz
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/250820/sha/601301587e284a3b0906ef737052fa0b34d6c5ee.txt.gz
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/243750/sha/c49ccb5a381aca37c549fcc9b279a4e5adb5ac0b.txt.gz
8/26/2015 11:05:14 PM	, 	allow	, 	http://clientconfig.akamai.steamstatic.com/appinfo/243730/sha/2da4fc3b41e74c0a3468ca1d1737cb5c9e2c2582.txt.gz
8/26/2015 11:06:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,554,554,0&db_conn=1,0,0,0,0
8/26/2015 11:06:42 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 11:07:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,547,547,0&db_conn=1,0,0,0,0
8/26/2015 11:08:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,534,534,0&db_conn=1,0,0,0,0
8/26/2015 11:09:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,565,565,0&db_conn=1,0,0,0,0
8/26/2015 11:10:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,540,540,0&db_conn=1,0,0,0,0
8/26/2015 11:11:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,547,547,0&db_conn=1,0,0,0,0
8/26/2015 11:12:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,543,543,0&db_conn=1,0,0,0,0
8/26/2015 11:12:12 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 11:12:12 PM	, 	allow	, 	http://ocsp2.globalsign.com/gsorganizationvalg2
8/26/2015 11:13:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,563,563,0&db_conn=1,0,0,0,0
8/26/2015 11:14:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,545,545,0&db_conn=1,0,0,0,0
8/26/2015 11:15:03 PM	, 	allow	, 	http://heartbeat.dm.origin.com/pulse?authon&user=F780878957C32CFEF3231373A43D03DB&url_heartbeat=1,0,645,645,0&db_conn=1,0,0,0,0
8/26/2015 11:15:23 PM	, 	deny	, 	http://en-us.appex-rf.msn.com/cgtile/v1/en-US/News/Today.xml
8/26/2015 11:15:23 PM	, 	deny	, 	http://en-us.appex-rf.msn.com/cgtile/v1/en-US/Sports/Today.xml?cgversion=v6
8/26/2015 11:15:23 PM	, 	deny	, 	http://en-us.appex-rf.msn.com/cgtile/v1/en-US/HealthAndFitness/Home.xml?cgversion=v6
8/26/2015 11:15:23 PM	, 	deny	, 	http://en-us.appex-rf.msn.com/cgtile/v1/en-US/News/Today.xml
8/26/2015 11:15:23 PM	, 	deny	, 	http://en-us.appex-rf.msn.com/cgtile/v1/en-US/HealthAndFitness/Home.xml?cgversion=v6
8/26/2015 11:15:23 PM	, 	deny	, 	http://en-us.appex-rf.msn.com/cgtile/v1/en-US/Sports/Today.xml?cgversion=v6
8/26/2015 11:15:23 PM	, 	allow	, 	http://service.weather.microsoft.com/appex/DesktopTile/PreInstallLiveTile?lang=en-US&region=US&appid=C98EA5B0842DBB9405BBF071E1DA76512D21FE36&FORM=APXWEA
8/26/2015 11:15:23 PM	, 	allow	, 	http://finance.services.appex.bing.com/Market.svc/AppTileV2?symbols=&contentType=-1&tileType=0&locale=en-US
8/26/2015 11:15:23 PM	, 		, 	http://finance.services.appex.bing.com/Market.svc/AppTileV2?symbols=&contentType=-1&tileType=0&locale=en-US
